Index,Account Id,Lead Owner,First Name,Last Name,Company,Phone 1,Phone 2,Email 1,Email 2,Website,Source,Deal Stage,Notes
1,JnJCAnLEBN,Erika Casey,Ellen,Hendrix,"Anderson, Huff and Davis",518-971-0612,554.335.2353x05974,lydiamaldonado@gonzalez.net,kathyfrazier@middleton-montgomery.com,https://houston.com/,Other,Re-engagement,This pull easy.
2,x9kRLpIanV,Charlene Huynh,Justin,Bruce,Mcknight PLC,001-417-438-8656,(680)663-2105x8267,ehendricks@fleming.com,hensonjake@snow.com,http://www.camacho-craig.com/,Partner Program,Qualified,Itself culture least marriage respond goal.
3,PISK49xOA2,Rachael Lam,Jacqueline,Houston,"Acevedo, Peck and Banks",346.808.0681x911,(905)324-0227x01811,everettjeremy@chase-james.com,tmitchell@ali.com,http://mcconnell-harmon.com/,Partner Program,New Lead,Traditional why accept buy imagine record expert.
4,x9kRLpIanV,Charlene Huynh,Justin,Bruce,Mcknight PLC,(680)663-2105x8267,001-417-438-8656,ehendricks@fleming.com,hensonjake@snow.com,http://www.camacho-craig.com/,Partner Program,Qualified,Not close visit significant build must.
5,x9kRLpIanV,Charlene Huynh,Justin,B.,Mcknight PLC,(680)663-2105x8267,001-417-438-8656,hensonjake+diamondharrington@snow.com,ehendricks@fleming.com,http://www.camacho-craig.com/,Partner Program,Qualified,Itself culture least marriage respond goal.
6,PISK49xOA2,Rachael Lam,Jacqueline,Houston,"Acevedo, Peck and Banks",(905)324-0227x01811,346.808.0681x911,everettjeremy@chase-james.com,tmitchell@ali.com,https://mcconnell-harmon.com/,Partner Program,New Lead,Nothing pull office strong.
7,7sJbF6mkzf,Rhonda Hansen,Ariel,Keller,Stone-Lyons,+1-230-370-5083x0019,6144442982,boydguy@estrada.org,eblair@maxwell.com,http://www.rojas.com/,Content Marketing,Proposal Sent,General other fast just age least forget.
8,9JftpxiEOK,Sarah Green,Jeanette,Branch,Rogers LLC,(447)539-5538x9802,670.597.6421x937,gerald32@gentry-schwartz.biz,matthew30@hooper-henderson.biz,http://kirk-crawford.com/,Referral,Closed Won,Lawyer senior upon foot clear look commercial.
9,z6V7UgzqAW,Melissa Davies,Isabella,Cherry,Kline Group,333.239.4913x33185,970.640.1152x8141,orrtony@hodges.com,zorr@pollard.com,https://www.walker-sparks.com/,Cold Email,Re-engagement,Development how town American election type mention.
10,HDy5DLRgDW,Jermaine Rogers,Briana,Rodriguez,"Farrell, Wilkinson and Lamb",001-834-638-9122x06472,980.658.5828x5128,julian51@perry.biz,colebates@barrett.net,https://www.moss-randolph.info/,Google Ads,On Hold,Pick agreement far upon.
11,x9kRLpIanV,Charlene Huynh,Justin,B.,Mcknight PLC,001-417-438-8656,(680)663-2105x8267,hensonjake@snow.com,ehendricks@fleming.com,http://www.camacho-craig.com/,Partner Program,Qualified,Itself culture least marriage respond goal.
12,isqB49PPRU,Jeffrey Short,Harry,Spence,Raymond-Frazier,559.232.1163,(700)281-6618x078,stefaniescott@valentine.com,kristi57@barron.com,http://white.com/,Other,Proposal Sent,Relationship help throw become another out step.
13,DRuEe7Dm1T,Krista Frank,Marilyn,Charles,Fuller Inc,825.367.8788,839.586.4309x479,martinjulia@chandler.com,iriggs@buck.com,http://mosley.com/,Retargeting Ads,Re-engagement,Order later tough work her pressure.
14,HDy5DLRgDW,Jermaine Rogers,Briana,R.,"Farrell, Wilkinson and Lamb",001-834-638-9122x06472,980.658.5828x5128,colebates@barrett.net,julian51@perry.biz,https://www.moss-randolph.info/,Google Ads,On Hold,Pick agreement far upon.
